Recording	Participant	Timeline	TOI	Interval	Media	AOI	post	pre	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 10			4	15955	266	83	1199	60	95445	233	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.98987	15073	264	83	1199	57	95445	233	2.99006	17887	745	133	3114	24	95445	633	18820	784	167	3148	24	95395	683	0			0			32	95395	96077	187.94	301.29													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 11			4	18865	314	67	1749	60	99725	250	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.98282	15939	285	67	1749	56	99725	250	2.98308	21213	731	100	4014	29	99725	250	22379	772	150	4014	29	99708	266	0			0			27	99708	99975	480.66	48.94													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 12			4	9593	320	83	1366	30	104555	167	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.96875	9493	327	83	1366	29	104555	167	2.96878	10493	617	100	1682	17	104555	333	11275	663	100	1782	17	104472	416	0			0			11	104472	104888	580.81	41.87													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 13			4	13157	286	67	1999	46	111950	250	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.97638	12858	299	67	1999	43	111950	250	2.97797	14490	1115	167	3264	13	111950	1532	15073	1159	183	3314	13	111900	1582	0			0			30	111900	113482	171.16	212.97													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 14			4	37124	260	67	849	143	204346	167	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.08872	31095	261	67	849	119	204346	167	3.09956	53922	1926	117	15683	28	204346	3564	55088	1967	167	15716	28	204296	3614	0			0			91	204296	207910	133.66	280.32													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 15			4	1332	190	67	300	7	250039	67	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.0657	1266	211	150	300	6	284925	150	3.0916	1449	362	67	733	4	250039	67	1566	391	67	766	4	250039	67	0			0			3	284891	293818	179.58	172.46													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 16			4	11125	214	67	683	52	230728	200	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.05571	10509	219	67	683	48	230728	200	3.0653	12674	667	67	2282	19	230728	283	13440	707	83	2315	19	230678	333	0			0			30	284625	231011	181.15	538.95													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 17			4	0				0			"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"			0				0				0				0			0				0			0			0			0																	
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 18			4	766	192	150	300	4	284925	150	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.09814	766	192	150	300	4	284925	150	3.09814	799	266	150	500	3	284925	150	916	305	183	533	3	284891	183	0			0			1	284891	285075	179.58	107.95													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 19			4	0				0			"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"			0				0				0				0			0				0			0			0			0																	
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 20			4	283	283	283	283	1	285125	283	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.12706	283	283	283	283	1	285125	283	3.12706	283	283	283	283	1	285125	283	333	333	333	333	1	285075	333	0			0			0	285075	285408	107.95	100.85													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 21			4	283	142	67	217	2	250039	67	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.91657	217	217	217	217	1	285441	217	3.02208	283	142	67	217	2	250039	67	316	158	67	250	2	250039	67	0			0			0	285408		100.85														
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 22			4	7778	259	83	1232	30	217320	266	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.06672	7361	263	117	1232	28	217320	266	3.06864	9227	659	83	2298	14	217320	833	9743	696	183	2365	14	217270	883	0			0			15	217270	218153	225.22	78.28													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 23			4	6912	209	83	466	33	218186	167	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.00862	6562	205	83	466	32	218186	167	3.01145	8194	512	83	2615	16	218186	167	8777	549	100	2665	16	218153	200	0			0			15	218153	218353	78.28	242.53													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 24			4	7095	187	67	650	38	231394	100	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.05031	6629	195	67	650	34	231394	100	3.04776	8061	448	100	1449	18	231394	100	8760	487	133	1466	18	231360	133	0			0			15	231360	236568	172.15	358.22													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 25			4	21052	234	17	666	90	323880	17	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.99941	20269	241	67	666	84	323947	167	3.0006	26815	1915	350	7445	14	323880	7445	27381	1956	383	7445	14	323880	7445	0			0			61	332424	331325	468.8	481.38													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 26			4	2698	193	100	366	14	343483	200	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.98888	2698	193	100	366	14	343483	200	2.98888	2998	500	150	1299	6	343483	633	3314	552	200	1366	6	343450	666	0			0			8	343450	344116	107.44	172.76													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 27			4	3564	210	83	350	17	344682	133	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.97973	3564	210	83	350	17	344682	133	2.97973	3914	489	217	766	8	344682	533	4314	539	250	816	8	344632	583	0			0			9	344632	345215	76.26	548.67													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 28			4	0				0			"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"			0				0				0				0			0				0			0			0			0																	
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 29			4	350	175	150	200	2	343483	200	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.95479	350	175	150	200	2	343483	200	2.95479	350	175	150	200	2	343483	200	433	217	200	233	2	343450	233	0			0			0	343450	343683	107.44	158.21													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 30			4	1083	180	100	283	6	343700	183	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.99801	1083	180	100	283	6	343700	183	2.99801	1149	287	183	416	4	343700	416	1299	325	233	433	4	343683	433	0			0			2	343683	344116	158.21	172.76													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 31			4	849	212	100	366	4	354975	366	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.99421	849	212	100	366	4	354975	366	2.99421	849	212	100	366	4	354975	366	1066	266	150	416	4	354925	416	0			0			0	354925	355341	385.27	91.21													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 32			4	416	208	200	217	2	356724	200	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.98287	416	208	200	217	2	356724	200	2.98287	416	208	200	217	2	356724	200	516	258	233	283	2	356690	233	0			0			0	356690	356923	75.02	181.07													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 33			4	3668	245	37	683	15	331342	200	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.02224	2698	225	133	566	12	331342	200	3.02845	4268	854	37	2248	5	331342	1083	4467	893	104	2265	5	331325	1099	0			0			8	331325	332424	481.38	468.8													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 34			4	2931	195	117	366	15	342600	117	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.99422	2931	195	117	366	15	342600	117	2.99422	3364	561	117	1582	6	342600	117	3664	611	167	1632	6	342550	167	0			0			8	342550	342717	204.16	228.37													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 35			4	2298	177	67	283	13	345948	283	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.98534	2298	177	67	283	13	345948	283	2.98534	2532	422	200	1266	6	345948	1266	2765	461	233	1316	6	345898	1316	0			0			7	345898	347214	60.62	258.8													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 36			4	13442	249	85	633	54	373560	85	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.16256	12125	253	100	633	48	373695	300	3.15506	15707	1745	433	4648	9	373560	4648	16107	1790	516	4648	9	373560	4648	0			0			39	378475	378208	147.46	69.22													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 37			4	1116	159	67	283	7	390000	183	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.15572	1116	159	67	283	7	390000	183	3.15572	1349	450	83	983	3	390000	983	1432	477	100	1033	3	389950	1033	0			0			3	389950	404739	175.53	123.34													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 38			4	1166	167	67	283	7	385220	200	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.10364	1166	167	67	283	7	385220	200	3.10364	1282	427	67	683	3	385220	533	1399	466	100	733	3	385187	566	0			0			4	385187		63.39														
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 39			4	0				0			"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"			0				0				0				0			0				0			0			0			0																	
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 40			4	466	233	183	283	2	390000	183	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.12385	466	233	183	283	2	390000	183	3.12385	466	233	183	283	2	390000	183	533	266	233	300	2	389950	233	0			0			0	389950	390183	175.53	135.98													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 41			4	583	146	83	250	4	390233	83	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.17577	583	146	83	250	4	390233	83	3.17577	716	358	83	633	2	390233	633	783	391	100	683	2	390183	683	0			0			1	390183	390866	135.98	104.47													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 42			4	67	67	67	67	1	390916	67	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.20329	67	67	67	67	1	390916	67	3.20329	67	67	67	67	1	390916	67	117	117	117	117	1	390866	117	0			0			0	390866		104.47														
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 43			4	0				0			"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"			0				0				0				0			0				0			0			0			0																	
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 44			4	2848	203	100	366	14	383305	100	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.14488	2848	203	100	366	14	383305	100	3.14488	3214	536	150	1166	6	383305	533	3464	577	217	1216	6	383288	550	0			0			8	384520	383838	483.95	213.67													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 45			4	2581	199	117	350	13	383105	133	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.13353	2581	199	117	350	13	383105	133	3.13353	2965	741	133	2248	4	383105	133	3164	791	183	2282	4	383055	183	0			0			9	383055	386969	221.22	87.24													
Recording5	Participant1	Timeline1	My Time of Interest 001	1	Screen Recording Recording5	Rectangle 46			4	2915	194	67	533	15	384804	383	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.08575	2915	194	67	533	15	384804	383	3.08575	3831	766	83	1732	5	384804	383	3997	799	117	1765	5	384787	400	0			0			8	384787	385187	75.29	63.39													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle			4	20368	229	67	933	89	83680	199	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.01691	18104	232	67	933	78	83896	150	3.00978	24981	1388	150	3298	18	83680	1265	25614	1423	183	3348	18	83680	1265	0			0			56	102425	84945	463.03	629.19													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 1			4	14856	222	67	583	67	84995	300	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.98497	12891	226	67	466	57	84995	300	2.9833	17238	862	83	2498	20	84995	1116	18170	909	117	2548	20	84945	1166	0			0			41	84945	102425	629.19	463.03													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 2			4	716	239	117	466	3	85978	133	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.13943	600	300	133	466	2	85978	133	3.1224	716	239	117	466	3	85978	133	799	266	117	516	3	85945	167	0			0			0	85945	111500	48.55	274.99													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 3			4	500	125	67	167	4	85345	117	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.88681	500	125	67	167	4	85345	117	2.88681	600	600	600	600	1	85345	600	650	650	650	650	1	85295	650	0			0			3	85295	85945	53.34	48.55													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 4			4	2915	208	67	450	14	84995	300	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.99143	2581	235	67	450	11	84995	300	2.97783	3048	305	67	816	10	84995	300	3381	338	83	833	10	84945	350	0			0			4	84945	85295	629.19	53.34													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 5			4	8710	242	67	583	36	94485	67	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.97929	7311	236	67	433	31	94485	67	2.98083	9726	648	183	1782	15	94485	550	10476	698	233	1849	15	94402	633	0			0			17	94402	101859	275.52	65.4													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 6			4	2015	202	100	366	10	90456	117	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.96962	1899	211	100	366	9	101892	117	2.98168	2148	358	117	550	6	90456	117	2382	397	117	616	6	90456	117	0			0			4	101859	102425	65.4	463.03													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 7			4	19386	223	67	883	87	144044	117	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.99645	19103	222	67	883	86	144044	117	2.99583	21751	777	100	2831	28	144044	2831	23317	833	150	2898	28	143977	2898	0			0			57	143977	146875	152.56	187.94													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 8			4	63950	295	67	1999	217	146925	233	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.98035	59741	290	67	1999	206	146925	233	2.98059	74538	1863	167	6360	40	146925	633	76653	1916	183	6427	40	146875	683	0			0			157	146875	147558	187.94	301.29													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 9			4	6529	297	133	1449	22	148607	200	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.97152	6529	297	133	1449	22	148607	200	2.97152	7295	811	200	2465	9	148607	1216	7761	862	217	2515	9	148574	1249	0			0			11	150689	149823	354.94	533.07													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 10			4	15955	266	83	1199	60	146925	233	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.98987	15073	264	83	1199	57	146925	233	2.99006	17887	745	133	3114	24	146925	633	18820	784	167	3148	24	146875	683	0			0			32	146875	147558	187.94	301.29													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 11			4	18865	314	67	1749	60	151205	250	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.98282	15939	285	67	1749	56	151205	250	2.98308	21213	731	100	4014	29	151205	250	22379	772	150	4014	29	151189	266	0			0			27	151189	151455	480.66	48.94													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 12			4	9593	320	83	1366	30	156035	167	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.96875	9493	327	83	1366	29	156035	167	2.96878	10493	617	100	1682	17	156035	333	11275	663	100	1782	17	155952	416	0			0			11	155952	156368	580.81	41.87													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 13			4	13157	286	67	1999	46	163430	250	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.97638	12858	299	67	1999	43	163430	250	2.97797	14490	1115	167	3264	13	163430	1532	15073	1159	183	3314	13	163380	1582	0			0			30	163380	164962	171.16	212.97													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 14			4	37124	260	67	849	143	255827	167	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.08872	31095	261	67	849	119	255827	167	3.09956	53922	1926	117	15683	28	255827	3564	55088	1967	167	15716	28	255777	3614	0			0			91	255777	259391	133.66	280.32													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 15			4	1332	190	67	300	7	301520	67	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.0657	1266	211	150	300	6	336405	150	3.0916	1449	362	67	733	4	301520	67	1566	391	67	766	4	301520	67	0			0			3	336372	345299	179.58	172.46													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 16			4	11125	214	67	683	52	282208	200	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.05571	10509	219	67	683	48	282208	200	3.0653	12674	667	67	2282	19	282208	283	13440	707	83	2315	19	282158	333	0			0			30	336105	282491	181.15	538.95													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 17			4	0				0			"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"			0				0				0				0			0				0			0			0			0																	
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 18			4	766	192	150	300	4	336405	150	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.09814	766	192	150	300	4	336405	150	3.09814	799	266	150	500	3	336405	150	916	305	183	533	3	336372	183	0			0			1	336372	336555	179.58	107.95													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 19			4	0				0			"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"			0				0				0				0			0				0			0			0			0																	
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 20			4	283	283	283	283	1	336605	283	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.12706	283	283	283	283	1	336605	283	3.12706	283	283	283	283	1	336605	283	333	333	333	333	1	336555	333	0			0			0	336555	336888	107.95	100.85													
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 21			4	283	142	67	217	2	301520	67	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		2.91657	217	217	217	217	1	336922	217	3.02208	283	142	67	217	2	301520	67	316	158	67	250	2	301520	67	0			0			0	336888		100.85														
Recording5	Participant1	Timeline1	Entire Recording	1	Screen Recording Recording5	Rectangle 22			4	7778	259	83	1232	30	268801	266	"Rectangle 1,Rectangle 8,Rectangle 26,Rectangle 37,Rectangle 40"		3.06672	7361	263	117	1232	28	268801	266	3.06864	9227	659	83	2298	14	268801	833	9743	696	183	2365	14	268751	883	0			0			15	268751	269634	225.22	78.28													
